CustomerID,actual_churn,predicted_churn,churn_probability,Risk Segment,CLTV,Value Segment,Expected CLTV at Risk,Retention Priority,Key Risk Factors,Recommended Action,Tenure Months,Contract,Internet Service,Payment Method,Monthly Charges,Total Charges
0295-PPHDO,1,1,0.9223360499653168,High Risk,5962,High Value,5498.967529893219,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,1,Month-to-month,Fiber optic,Electronic check,95.45,95.45
5178-LMXOP,1,1,0.9153174743741656,High Risk,5795,High Value,5304.26476399829,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,1,Month-to-month,Fiber optic,Electronic check,95.1,95.1
1628-BIZYP,0,1,0.8782236298861237,High Risk,5754,High Value,5053.2987663647555,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,1,Month-to-month,Fiber optic,Electronic check,85.0,85.0
7180-PISOG,1,1,0.8929963336546509,High Risk,5554,High Value,4959.701637117932,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,1,Month-to-month,Fiber optic,Electronic check,74.5,74.5
3716-BDVDB,1,1,0.8347031303172943,High Risk,5795,High Value,4837.104640188721,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,1,Month-to-month,Fiber optic,Electronic check,69.1,69.1
2865-TCHJW,1,1,0.8068062785986099,High Risk,5808,High Value,4685.930866100726,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,4,Month-to-month,Fiber optic,Electronic check,89.2,346.2
6023-YEBUP,1,1,0.8716163869727069,High Risk,5351,High Value,4664.019286690955,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,3,Month-to-month,Fiber optic,Electronic check,100.95,329.95
3006-XIMLN,1,1,0.8717925878990649,High Risk,5299,High Value,4619.628923277145,Critical,Month-to-month contract; Short tenure; Fiber optic service; No tech support,Offer incentive to move to a longer-term contract; Offer discounted or trial tech support; Bundle online security with retention offer,2,Month-to-month,Fiber optic,Bank transfer (automatic),94.2,193.8
1320-HTRDR,1,1,0.7677076592072157,High Risk,5948,High Value,4566.325156964519,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,3,Month-to-month,Fiber optic,Electronic check,75.5,220.6
6910-HADCM,1,1,0.8121156820907963,High Risk,5613,High Value,4558.40532357564,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,1,Month-to-month,Fiber optic,Electronic check,76.35,76.35
6630-UJZMY,0,1,0.8615263986977949,High Risk,5251,High Value,4523.875119562121,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,4,Month-to-month,Fiber optic,Electronic check,83.25,308.05
5357-TZHPP,1,1,0.7852733949910735,High Risk,5745,High Value,4511.395654223717,Critical,Month-to-month contract; Fiber optic service; No tech support; No online security,Offer incentive to move to a longer-term contract; Offer discounted or trial tech support; Bundle online security with retention offer,9,Month-to-month,Fiber optic,Credit card (automatic),84.4,732.5
8361-LTMKD,1,1,0.767389789264876,High Risk,5839,High Value,4480.788979517611,Critical,Month-to-month contract; Short tenure; Fiber optic service; No tech support,Offer incentive to move to a longer-term contract; Offer discounted or trial tech support; Bundle online security with retention offer,4,Month-to-month,Fiber optic,Mailed check,74.4,306.6
7409-KIUTL,1,1,0.8369029116615636,High Risk,5345,High Value,4473.246062831057,Critical,Month-to-month contract; Short tenure; Electronic check; Fiber optic service,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,1,Month-to-month,Fiber optic,Electronic check,71.0,71.0
8161-QYMTT,0,1,0.829206413958866,High Risk,5259,High Value,4360.796531009676,Critical,Month-to-month contract; Electronic check; Fiber optic service; No tech support,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,7,Month-to-month,Fiber optic,Electronic check,94.1,701.3
2754-SDJRD,0,1,0.8435547400787488,High Risk,5157,High Value,4350.211794586107,Critical,Month-to-month contract; Fiber optic service; No online security; High monthly charges,Offer incentive to move to a longer-term contract; Bundle online security with retention offer; Review plan pricing or offer loyalty discount,8,Month-to-month,Fiber optic,Credit card (automatic),100.15,908.55
1768-ZAIFU,1,1,0.7575785248386496,High Risk,5688,High Value,4309.106649282239,Critical,Month-to-month contract; Short tenure; Electronic check; No tech support,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,1,Month-to-month,DSL,Electronic check,25.2,25.2
7249-WBIYX,1,1,0.8320272094458262,High Risk,5146,High Value,4281.612019808222,Critical,Month-to-month contract; Electronic check; Fiber optic service; No tech support,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,10,Month-to-month,Fiber optic,Electronic check,85.6,813.85
8541-QVFKM,0,1,0.7158974095788597,High Risk,5777,High Value,4135.739335137073,Critical,Month-to-month contract; Electronic check; Fiber optic service; No tech support,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,8,Month-to-month,Fiber optic,Electronic check,73.5,632.2
6651-AZVTJ,1,1,0.6792987011658116,High Risk,6088,High Value,4135.570492697461,Critical,Month-to-month contract; Electronic check; Fiber optic service; No tech support,Offer incentive to move to a longer-term contract; Promote automatic payment enrollment; Offer discounted or trial tech support,49,Month-to-month,Fiber optic,Electronic check,99.8,4872.45
