feature,importance,signed_effect
num__Month-to-Month,0.28907357951127644,
num__Tenure Months,0.1423441051751293,
cat__Internet Service_Fiber optic,0.0756179023531148,
num__Monthly Charges,0.07439252395369873,
cat__Online Security_No,0.06337322483004361,
cat__Contract_Month-to-month,0.05374679697675353,
num__Total Charges,0.05355972273486046,
cat__Dependents_No,0.04987890764836071,
cat__Tech Support_No,0.04628749782391799,
cat__Payment Method_Electronic check,0.04422256688728887,
cat__Dependents_Yes,0.03692001500038391,
cat__Paperless Billing_No,0.013002243593603696,
cat__Multiple Lines_No,0.008886396419556053,
cat__Contract_Two year,0.007358608687056045,
cat__Streaming Movies_Yes,0.006708958381472196,
cat__Online Backup_No,0.006477980280385148,
cat__Partner_Yes,0.003899075027714774,
cat__Paperless Billing_Yes,0.0035986748722322995,
cat__Partner_No,0.0035050345248145627,
cat__Gender_Male,0.0030948040866323255,
cat__Senior Citizen_Yes,0.002593472267953396,
cat__Streaming TV_Yes,0.0022942565067548353,
cat__Tech Support_Yes,0.0013467444560732625,
cat__Contract_One year,0.0012544100181108421,
num__Automatic Payment,0.0011896425688053417,
cat__Senior Citizen_No,0.0009596825010691697,
cat__Payment Method_Bank transfer (automatic),0.0008693750011845152,
cat__Gender_Female,0.0008378589977415928,
num__Num Addon Services,0.0007002551678699603,
cat__Phone Service_Yes,0.0005899048343225485,
cat__Payment Method_Credit card (automatic),0.0003130372364160194,
cat__Online Security_Yes,0.0003099103237415468,
cat__Internet Service_DSL,0.0003004353167766186,
cat__Phone Service_No,0.0002802849050776618,
cat__Streaming Movies_No,0.00021211112980720702,
cat__Tech Support_No internet service,0.0,
cat__Device Protection_Yes,0.0,
cat__Online Backup_No internet service,0.0,
cat__Online Backup_Yes,0.0,
cat__Internet Service_No,0.0,
cat__Online Security_No internet service,0.0,
cat__Multiple Lines_Yes,0.0,
cat__Multiple Lines_No phone service,0.0,
cat__Device Protection_No internet service,0.0,
cat__Device Protection_No,0.0,
cat__Streaming Movies_No internet service,0.0,
cat__Streaming TV_No internet service,0.0,
cat__Streaming TV_No,0.0,
cat__Payment Method_Mailed check,0.0,
